Author Id,Category,Data,Date,Id,Location,Tweet Id
8.14058E+17,crime,@OutplayedByJ these the guys that run purple mozam every round just to lose still. Kids are complete scum. Abusing cheese weapons cause they lack gun skill. Don’t worry dom. They are indeed ass for that. https://t.co/eZJ6zwiSCW,16-12-2021,1,USA,1.47153E+18
1.46792E+18,crime,"RT @salltweets: We went from #MeToo to Male Rapists Can Say They Are Women And Must Be Believed.

This is no accident. This is a retaliatio…",16-12-2021,2,France,1.47153E+18
1.1729E+18,crime,"RT @FOX23: New witness accounts allege that thousands of ethnic Tigrayans have been forcibly expelled, detained or killed in one of the mos…",16-12-2021,3,USA,1.47153E+18
4726671989,crime,"An elderly woman Mala Puffi, 85, wife of Late Ghulam Ahmad Sheikh of Behrar Lal Bazar, Srinagar, was allegedly killed by her non-local identified as Omprakash Sah, hailing from the Indian state of Uttarakhand, https://t.co/A3MWZqPQHl",16-12-2021,4,India,1.47153E+18
3313458757,crime,"RT @KeypadGuerilla: #SHOCKING #Karnataka #MLAs #triviliazes #Rape in #assembly *There is a saying, When rape is inevitable, lie down and en…",16-12-2021,5,India,1.47153E+18
1.38273E+18,crime,RT @ericgarland: St. Louis County government official commits suicide as soon as police serve warrant at his house for child sex abuse medi…,16-12-2021,6,Switzerland,1.47153E+18
337261405,crime,@eNCA Why aren't the men behind these #InitiationSchoolsrough charged with murder when these young men are killed by being deliberately deprived of water?!,16-12-2021,7,South Africa,1.47153E+18
435832540,crime,"@BoundingComics Hmm, since every dot on his body is someone he's killed he's already a mass murderer and his plan was to ethnically cleanse the world and bomb them back into the stone age.

That certainly makes him a villain and following the same mentality as the worst villains our in history",16-12-2021,8,USA,1.47153E+18
1258483736,crime,when a celeb is accused of sexual assault or harassment it’s important to let the world know that you aren’t surprised and that you always had a bad feeling about them and just not emphasize with the people hurt in any way whatsoever. Make it all about you,16-12-2021,9,USA,1.47153E+18
1.36379E+18,crime,LE SIMPLE FAIT QUE APRES  AVOIR COMMIS UN GENOCIDE CES GENS SONT SOUTENU ET PAS PUNI PAR LA JUSTICE EST UNE PREUVE MATERIELLE IRREFUTABLE QUE LA JUSTICE EST CORROMPU.,16-12-2021,10,United Kingdom,1.47153E+18
